,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Trade,,,,Iran,,,,Inflation,,,,Borders,,,,Welfare,,,,Budget,,,,Transit,,,,,,,,,,
,Top 20,Top 10,VTH,Debate,Winner,PN,,L,C,R,,L,C,R,,L,C,R,,L,C,R,,L,C,R,,Y,,N,,Y,,N,,First Name,Last Name,Age,Gender,Ethnicity,Neighborhood,Zip Code,Image
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,3168,7261,11258,,,1,,X,,,,X,,,,X,,,,X,,,,X,,,,X,,,,X,,,,Chloe,Johnson,25,Female,White,Academy Gardens,19114,02-01.png
100,512,,,,,2,,X,,,,X,,,,X,,,,X,,,,X,,,,X,,,,X,,,,Juan,Flores,55,Male,Hispanic,Ashton Wooden Bridge,19123,02-02.png
100,666,,,,,3,,,X,,,X,,,,X,,,,X,,,,X,,,,X,,,,X,,,,Lily,Brown,56,Female,White,Bridesburg,19137,02-03.png
100,382,,,,,4,,X,,,,X,,,,X,,,,X,,,,X,,,,X,,,,X,,,,Oscar,Jones,57,Male,Black,Bustleton,19115,02-04.png
100,215,,,,,5,,,X,,,X,,,,X,,,,X,,,,X,,,,X,,,,X,,,,Ella,Martin,75,Female,Hispanic,Center City,19102,02-05.png
100,320,,,,,6,,X,,,,,X,,,X,,,,X,,,,X,,,,X,,,,X,,,,Douglas,Davis,41,Male,White,East Kensington,19122,02-06.png
100,510,,,,,7,,X,,,,X,,,,,X,,,X,,,,X,,,,X,,,,X,,,,Victoria,Wilson,74,Female,Black,Fairhill,19133,02-07.png
100,459,,,,,8,,,X,,,X,,,,X,,,,,X,,,X,,,,X,,,,X,,,,Hiroshi,Ming,26,Male,Asian,Feltonville,19120,02-08.png
100,399,,,,,9,,X,,,,X,,,,X,,,,X,,,,,X,,,X,,,,X,,,,Samantha,Robinson,45,Female,White,Fishtown,19125,02-09.png
100,242,,,,,10,,,X,,,X,,,,X,,,,X,,,,X,,,,,,X,,X,,,,Jose,Rivera,58,Male,Hispanic,Fox Chase,19111,02-10.png
100,311,,,,,11,,X,,,,X,,,,X,,,,X,,,,X,,,,X,,,,,,X,,Natalie,Moore,42,Female,Black,Frankford,19124,02-11.png
100,289,,,,,12,,,X,,,,X,,,X,,,,X,,,,X,,,,X,,,,X,,,,William,Jackson,40,Male,White,Franklinville,16683,02-12.png
100,2507,4953,,,,13,,X,,,,,X,,,,X,,,X,,,,X,,,,X,,,,X,,,,Noor,Lee,27,Female,Asian,Glenwood,19132,02-13.png
100,231,,,,,14,,X,,,,X,,,,,X,,,,X,,,X,,,,X,,,,X,,,,Miguel,Phillips,46,Male,Hispanic,Harrowgate,19134,02-14.png
100,201,,,,,15,,,X,,,X,,,,X,,,,,X,,,,X,,,X,,,,X,,,,Hannah,Thompson,59,Female,White,Hartranft,19133,02-15.png
100,154,,,,,16,,X,,,,X,,,,X,,,,X,,,,,X,,,,,X,,X,,,,Noah,Harris,73,Male,Black,Holmesburg,19136,02-16.png
100,289,,,,,17,,X,,,,X,,,,X,,,,X,,,,X,,,,,,X,,,,X,,Alexis,White,39,Female,Multiracial,Hunting Park,19140,02-17.png
100,445,,,,,18,,,X,,,X,,,,X,,,,,,X,,X,,,,X,,,,,,X,,Henry,Williams,28,Male,White,East Kensington,19122,02-18.png
100,2158,6623,10296,,,19,,X,,,,,X,,,X,,,,X,,,,X,,,,X,,,,,,X,,Jasmine,Diaz,47,Female,Hispanic,Krewstown,19115,02-19.png
100,523,,,,,20,,,X,,,X,,,,,X,,,X,,,,X,,,,X,,,,,,X,,Adam,Anderson,43,Male,Black,Lawncrest,19111,02-20.png
100,341,,,,,21,,X,,,,X,,,,X,,,,,X,,,X,,,,X,,,,,,X,,Ashley,Hill,60,Female,White,Lawndale,19111,02-21.png
100,329,,,,,22,,,X,,,X,,,,X,,,,X,,,,,X,,,X,,,,,,X,,Nick,Sing,29,Male,Asian,Lexington Park,19128,02-22.png
100,589,,,,,23,,,X,,,X,,,,X,,,,,X,,,X,,,,,,X,,X,,,,Maria,Cruz,38,Female,Hispanic,Logan,19141,02-23.png
100,635,,,,,24,,X,,,,X,,,,,X,,,X,,,,X,,,,,,X,,X,,,,Thomas,Nelson,48,Male,White,Ogontz,19141,02-24.png
100,189,,,,,25,,X,,,,,X,,,X,,,,X,,,,X,,,,,,X,,X,,,,Trinity,Adams,30,Female,Black,Fern Rock,19141,02-25.png
100,258,,,,,26,,,X,,,X,,,,X,,,,X,,,,X,,,,,,X,,X,,,,Luis,Taylor,61,Male,Hispanic,Ludlow,19107,02-26.png
100,1894,3899,,,,27,,X,,,,X,,,,,X,,,,,X,,,X,,,X,,,,X,,,,Sue,Hall,44,Female,White,Mayfair,19124,02-27.png
100,369,,,,,28,,X,,,,,X,,,X,,,,X,,,,,X,,,X,,,,X,,,,Roberto,Baker,31,Male,Black,Millbrook,19114,02-28.png
100,654,,,,,29,,,X,,,X,,,,X,,,,X,,,,,X,,,X,,,,X,,,,Tiffany,Chin,37,Female,Asian,Morrell Park,19114,02-29.png
100,741,,,,,30,,X,,,,,X,,,X,,,,,X,,,X,,,,X,,,,X,,,,Ricardo,Roberts,49,Male,White,Norris Square,19122,02-30.png
100,681,,,,,31,,,X,,,X,,,,X,,,,,X,,,X,,,,X,,,,X,,,,Diamond,Carter,32,Female,Hispanic,Normandy,19154,02-31.png
100,285,,,,,32,,,X,,,X,,,,,X,,,X,,,,X,,,,X,,,,X,,,,Antonio,Mitchell,62,Male,Black,North Philadelphia,19120,02-32.png
100,259,,,,,33,,,,X,,,X,,,,X,,,X,,,,X,,,,X,,,,X,,,,Nicole,Campbell,33,Female,White,North Philadelphia East,19121,02-33.png
100,341,,,,,34,,,X,,,,X,,,X,,,,,X,,,X,,,,X,,,,X,,,,Zachary,Evans,50,Male,White,North Philadelphia West,19132,02-34.png
100,1689,4994,,,,35,,,,X,,,X,,,X,,,,X,,,,,X,,,X,,,,X,,,,Amara,Perez,36,Female,Hispanic,Northeast Philadelphia,19111,02-35.png
100,192,,,,,36,,,X,,,,X,,,X,,,,X,,,,X,,,,,,X,,X,,,,Peter,Parker,34,Male,White,Port Richmond,19125,02-36.png
100,2124,6785,14125,,,37,,,X,,,,X,,,X,,,,X,,,,X,,,,X,,,,,,X,,Latoya,Edwards,63,Female,Black,Center City,19102,02-37.png
100,521,,,,,38,,X,,,,,X,,,,X,,,,X,,,X,,,,X,,,,X,,,,Manuel,Reyes,51,Male,Hispanic,Center City,19102,02-38.png
100,483,,,,,39,,X,,,,,X,,,,X,,,X,,,,,X,,,X,,,,X,,,,Melissa,Collins,25,Female,White,Olde Richmond,19125,02-39.png
100,259,,,,,40,,,,X,,,X,,,,X,,,X,,,,X,,,,,,X,,X,,,,Steven,Stewart,64,Male,Black,Olney ,19120,02-40.png
100,1802,4852,,,,41,,,,X,,,X,,,,X,,,X,,,,X,,,,X,,,,,,X,,Aaliyah,Morris,55,Female,Asian,Oxford Circle,19111,02-41.png
100,412,,,,,42,,,,X,,X,,,,,X,,,,X,,,,X,,,X,,,,X,,,,Jason,Murphy,52,Male,White,Parkwood,19154,02-42.png
100,685,,,,,43,,X,,,,X,,,,,X,,,,X,,,X,,,,,,X,,X,,,,Monique,Ramirez,35,Female,Hispanic,Poplar,19123,02-43.png
100,158,,,,,44,,X,,,,,X,,,,X,,,,X,,,X,,,,X,,,,,,X,,Victor,Rogers,26,Male,Black,Rhawnhurst,19152,02-44.png
100,245,,,,,45,,,,X,,X,,,,X,,,,,X,,,,X,,,,,X,,X,,,,Vanessa,Lewis,56,Female,White,Somerton,19116,02-45.png
100,2185,5891,18251,,,46,,X,,,,X,,,,X,,,,,X,,,,X,,,X,,,,,,X,,Jamal,Clark,53,Male,Black,Tacony,19135,02-46.png
100,357,,,,,47,,X,,,,X,,,,X,,,,X,,,,,X,,,,,X,,,,X,,Carmen,Peres,27,Female,Hispanic,Torresdale,19114,02-47.png
100,701,,,,,48,,,X,,,,X,,,,X,,,,X,,,X,,,,X,,,,X,,,,Kyle,Gomez,57,Male,White,West Kensington,19133,02-48.png
100,541,,,,,49,,,X,,,,X,,,,X,,,X,,,,,X,,,X,,,,X,,,,Ebony,Nguyen,44,Female,Multiracial,Wissinoming,19137,02-49.png
100,1636,4826,,,,50,,,X,,,,X,,,,X,,,X,,,,X,,,,,,X,,X,,,,Fernando,Lima,58,Male,Hispanic,Yorktown,19122,02-50.png
100,367,,,,,51,,,X,,,,X,,,,X,,,X,,,,X,,,,X,,,,,,X,,Elena,Allen,38,Female,White,Center City,19102,02-51.png
100,525,,,,,52,,,X,,,,X,,,,X,,,,X,,,,X,,,X,,,,X,,,,Malik,King,54,Male,Black,North Philadelphia,19120,02-52.png
100,2741,7709,13251,,,53,,X,,,,,X,,,,X,,,,X,,,X,,,,,,X,,X,,,,Fatima,Sharma,59,Female,Asian,North Philadelphia East,19121,02-53.png
100,293,,,,,54,,X,,,,,X,,,,X,,,,X,,,X,,,,X,,,,,,X,,Kelly,Scott,72,Female,White,North Philadelphia West,19132,02-54.png
100,781,,,,,55,,,,X,,X,,,,,X,,,,X,,,,X,,,,,X,,X,,,,Aisha,Hernandez,29,Female,Hispanic,Northeast Philadelphia,19111,02-55.png
100,1131,,,,,56,,,,X,,X,,,,,X,,,,X,,,,X,,,X,,,,X,,,,Marcus,Cook,43,Male,Black,Fox Chase,19111,02-56.png
100,892,,,,,57,,X,,,,X,,,,X,,,,,X,,,,X,,,,,X,,,,X,,Samantha,Gonzalez,30,Female,White,Lawndale,19111,02-57.png
100,2649,8825,14598,,,58,,,X,,,X,,,,,X,,,X,,,,,X,,,,,X,,,,X,,Jesus,Martinez,45,Male,Black,Center City,19102,02-58.png
100,247,,,,,59,,X,,,,,X,,,X,,,,X,,,,,X,,,,,X,,,,X,,Mary,Morales,54,Female,White,North Philadelphia,19120,02-59.png
100,392,,,,,60,,,X,,,X,,,,X,,,,X,,,,,X,,,,,X,,,,X,,Brian,Chambers,46,Male,White,North Philadelphia East,19121,02-60.png
100,652,,,,,61,,X,,,,X,,,,,X,,,,X,,,X,,,,,,X,,,,X,,Christi,Romero,42,Female,Hispanic,North Philadelphia West,19132,02-61.png
100,589,,,,,62,,X,,,,,X,,,X,,,,,X,,,X,,,,,,X,,,,X,,Adrian,Chan,31,Male,Asian,Northeast Philadelphia,19111,02-62.png
100,1850,5051,,,,63,,,X,,,X,,,,X,,,,,X,,,X,,,,,,X,,,,X,,Abigail,Nemanic,60,Female,White,Port Richmond,19125,02-63.png
100,600,,,,,64,,,X,,,,X,,,,X,,,,X,,,,X,,,X,,,,X,,,,Omar,Manne,47,Male,Black,Fox Chase,19111,02-64.png
100,591,,,,,65,,,X,,,,X,,,,X,,,,X,,,X,,,,,,X,,X,,,,Victoria,Lopez,53,Female,Hispanic,Center City,19102,02-65.png
100,741,,,,,66,,,X,,,,X,,,,X,,,,X,,,X,,,,X,,,,,,X,,Larry,Schaefer,41,Male,White,Olney ,19120,02-66.png
100,488,,,,,67,,X,,,,,X,,,,X,,,,X,,,,X,,,,,X,,X,,,,Jasmine,Walker,61,Female,Black,Poplar,19123,02-67.png
100,496,,,,,68,,X,,,,X,,,,,X,,,,X,,,,X,,,,,X,,,,X,,Jose,Rodriguez,32,Male,Hispanic,Hartranft,19133,02-68.png
100,589,,,,,69,,,X,,,X,,,,,X,,,,X,,,,X,,,,,X,,,,X,,Natalie,White,48,Female,White,West Kensington,19133,02-69.png
100,2526,7203,11896,,,70,,X,,,,,X,,,X,,,,,X,,,,X,,,,,X,,,,X,,Darius,Castillo,62,Male,Black,Center City,19102,02-70.png
100,741,,,,,71,,,X,,,X,,,,X,,,,,X,,,,X,,,,,X,,,,X,,Mei,Joseph,40,Female,Asian,North Philadelphia,19120,02-71.png
100,485,,,,,72,,X,,,,,X,,,,X,,,,X,,,,X,,,,,X,,,,X,,Ryan,Daugherty,63,Male,White,North Philadelphia East,19121,02-72.png
100,359,,,,,73,,,X,,,X,,,,,X,,,,X,,,,X,,,,,X,,,,X,,Anna,Perez,49,Female,Hispanic,North Philadelphia West,19132,02-73.png
100,2845,7773,17269,,,74,,,X,,,,X,,,X,,,,,X,,,,X,,,,,X,,,,X,,Andre,Kennedy,52,Male,Black,Northeast Philadelphia,19111,02-74.png
100,458,,,,,75,,,X,,,X,,,,,X,,,X,,,,,X,,,,,X,,,,X,,Grace,Myers,33,Female,White,Glenwood,19132,02-75.png
100,820,,,,,76,,,X,,,,X,,,,X,,,,X,,,X,,,,,,X,,,,X,,Devon,Sanders,64,Male,Hispanic,Harrowgate,19134,02-76.png
100,351,,,,,77,,,X,,,,X,,,,X,,,,X,,,,X,,,X,,,,,,X,,Sophia,Price,39,Female,Black,Hartranft,19133,02-77.png
